Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-08-22,73.95914382374997,74.59837829139286,73.85527081363946,74.0550308227539,2464000,0.59,0
2012-08-23,74.03109074783302,74.05506098329849,73.34391554891685,73.49573516845703,1823500,0.0,0
2012-08-24,73.53568439292137,74.28678429270073,73.46377368567997,74.17491912841797,1945800,0.0,0
2012-08-27,74.24680848909227,74.28676293464642,73.8313102978146,73.98312377929688,1880000,0.0,0
2012-08-28,73.79934426390334,74.1269475355058,73.6714949214882,73.75140380859375,1913000,0.0,0
2012-08-29,73.91122584963993,74.15094037195402,73.75142023222624,73.85529327392578,1736000,0.0,0
2012-08-30,73.55164576811558,73.63154856118524,72.95236567580456,73.3199234008789,1729600,0.0,0
2012-08-31,73.86328374230877,74.31074433807875,73.43180126944767,73.99112701416016,1917300,0.0,0
2012-09-04,73.53564420317416,73.7753586220218,72.79253682017553,73.2559814453125,2532300,0.0,0
2012-09-05,73.44777079029846,73.503703358219,72.80055020490474,73.31193542480469,2985500,0.0,0
2012-09-06,73.80733863048492,74.61436476845618,73.55963204602338,74.53446197509766,3223400,0.0,0
2012-09-07,74.61439183441935,74.83013616055906,74.07104410781558,74.16693115234375,3215400,0.0,0
2012-09-10,73.7274222021745,73.75938453548818,72.40101889871129,72.44895935058594,6356100,0.0,0
2012-09-11,72.49690674643107,73.18407558403987,72.43298207905617,72.84848022460938,2403400,0.0,0
2012-09-12,73.19209465724178,73.24004122353354,72.28118914822129,72.56085205078125,2409600,0.0,0
2012-09-13,72.64874117022987,73.85529370620398,72.2811833710722,73.55964660644531,2729300,0.0,0
2012-09-14,74.1988686161566,75.09379577636719,73.95915413332747,75.09379577636719,4993000,0.0,0
2012-09-17,74.83810193453004,75.18168334007122,74.70226047853868,74.9339828491211,3290300,0.0,0
2012-09-18,74.93395961616973,75.10175726087155,74.48649923029818,74.654296875,2477500,0.0,0
2012-09-19,74.21485253274739,75.15772022468192,74.09500137816532,74.81413269042969,2723500,0.0,0
2012-09-20,74.47054599578483,74.8141335339108,74.23882969685174,74.77418518066406,2075600,0.0,0
2012-09-21,75.15771378506373,75.16570589341543,74.2627927278331,74.47853088378906,9547000,0.0,0
2012-09-24,74.19088366921292,75.18169184124147,74.11897297513833,74.89404296875,3037400,0.0,0
2012-09-25,75.06984044268012,75.18969771761002,74.08702419988232,74.17491912841797,3800400,0.0,0
2012-09-26,74.21484615188746,74.63035043935763,73.94317542993522,73.98312377929688,2612900,0.0,0
2012-09-27,74.22286373760319,74.47855642681705,73.47975590704503,74.16693115234375,2081400,0.0,0
2012-09-28,73.88723685197118,74.1988619941219,73.2719725791768,73.84728240966797,2559500,0.0,0
2012-10-01,74.23082480701328,75.3255058173476,73.67948519987483,74.54244995117188,3900600,0.0,0
2012-10-02,75.29354999839505,75.34149045278141,74.39063079950475,74.7422103881836,3602300,0.0,0
2012-10-03,74.95795307776886,75.10977265412794,74.31073251950956,74.9339828491211,2610300,0.0,0
2012-10-04,75.1497284492506,75.53326430688911,74.8381032788471,75.45336151123047,2531400,0.0,0
2012-10-05,75.70106412977627,76.06862187706876,75.46934174853243,75.8768539428711,3663600,0.0,0
2012-10-08,75.54926260242345,76.27638610346769,75.5093081490523,76.20447540283203,2607600,0.0,0
2012-10-09,76.14054700234983,76.14054700234983,75.02988153017101,75.06184387207031,2989500,0.0,0
2012-10-10,75.06981739641144,75.10977184118688,74.43058895335079,74.53446197509766,2561600,0.0,0
2012-10-11,74.99792973543873,75.00592184608585,74.13496467137658,74.17491912841797,2429200,0.0,0
2012-10-12,74.27079806309645,74.58242331177117,73.83132952849589,74.11099243164062,2566100,0.0,0
2012-10-15,74.07903489951299,74.35869782082926,73.80736408914703,74.14295959472656,2916300,0.0,0
2012-10-16,75.12575241679141,75.3814450216112,74.54245651963654,75.2935562133789,2857500,0.0,0
2012-10-17,75.86087527788337,75.98871853436766,75.54925010097408,75.75699615478516,3191800,0.0,0
2012-10-18,75.65311697882109,75.90880956719975,75.24560482052652,75.70105743408203,2538800,0.0,0
2012-10-19,75.59718233357864,75.59718233357864,74.06302684555918,74.26278686523438,3804100,0.0,0
2012-10-22,73.83929975208687,74.35867094846759,73.11217032324623,73.9351806640625,3130800,0.0,0
2012-10-23,71.64993552411892,72.32911849623888,70.77898460490236,70.89884185791016,5866000,0.0,0
2012-10-24,71.13854433237182,71.54605652012076,70.4353911875557,70.62715911865234,3321300,0.0,0
2012-10-25,70.77096835998964,70.98670646487383,69.84408518496606,70.1636962890625,4613900,0.0,0
2012-10-26,70.23561978868047,70.74700491969324,69.98791323420842,70.33949279785156,3592600,0.0,0
2012-10-31,70.33949812697963,70.86686751239941,69.90801574696128,69.99591064453125,3360400,0.0,0
2012-11-01,70.26759044320977,71.43418829250528,70.1876815538697,71.3143310546875,3306600,0.0,0
2012-11-02,71.60199192342792,71.88964687956285,70.93878710255056,71.09060668945312,3051900,0.0,0
2012-11-05,70.37948583010802,71.78579266344026,70.37948583010802,71.59402465820312,2387800,0.0,0
2012-11-06,71.87367754024805,72.89645431611247,71.80975894491425,72.6008071899414,2806100,0.0,0
2012-11-07,72.18529077266254,72.18529077266254,70.8828574046498,71.418212890625,4593100,0.0,0
2012-11-08,71.2024653980821,71.77777525839575,70.68308810217714,70.7550048828125,3005900,0.0,0
2012-11-09,70.79496320841845,71.56204109821331,70.39544309313821,70.96276092529297,3176400,0.0,0
